isbn,summary,rating
0393022269,"Tells the stories of a chorus girl, an unhappy love affair, a
prostitute, a woman no longer able to love, and an English-West Indian
marriage",9
0595204589,"A man stands alone in the fog, not knowing exactly how he got to be
where he was and not having any idea which direction to go.",8
0060193328,"One of seven children of a high-ranking government official, Loung Ung
lived a privileged life in the Cambodian capital of Phnom Penh until
the age of five.",8
0837176980,"The author recounts his experiences traveling through six countries,
and offers his observations on their people, cultures, and customs.",9
0312147015,"In 1930s Harveyville, Kansas, Rita Ritter, a recent arrival, is
invited to join the Persian Pickle Club, but her interest in
journalism brings her dangerously close to a secret the club has sworn
to keep",8
0451185110,"Psychiatrist-sleuth Alan Gregory finds himself in a tangle of sex,
sanctions, and sudden death when his girlfriend sues her former
employer, a closet lesbian and aide to the first Mormon justice on the
Supreme Court, for sexual harassment ...",8
006091307X,"The highly original satire about Oedipa Maas, a woman who finds
herself enmeshed in a worldwide conspiracy, meets some extremely
interesting characters, and attains a not inconsiderable amount of
self knowledge.",5
0684829746,"Irrepressible young Edna Arkins struggles to negotiate the perils and
complexities of the eighth grade while coping with her white mother,
absent Black father, poverty, adolescence, troubled friends, and
puberty",5
006623607X,"When his well-intentioned lie appears to have contributed to a
man&#39;s suicide, Terpin&#39;s resolve to never again act or speak,
except by the truth in his heart, has far-reaching consequences.",8
0061030651,"National Security Adviser Admiral Arnold Morgan can&#39;t let that
happen, and he dispatches the most stealthy hunter-killer submarine in
the U.S. fleet, the 9,000-ton ultrasecret Seawolf, deep into the dark,
forbidden waters of the South China ...",7
0743403460,"In the first volume of a four-volume novel set in ancient Egypt, a
desert wanderer blocks a plot to steal a gemstone with supposed
magical powers.",8
0373218400,"Table For Two by Nora Roberts released on Oct 25, 2002 is available
now for purchase.",7
0515120618,"Jack Mercy&#39;s three daughters are strangers to each other. Now they
must learn to live as a family-in order to gain an inheritance worth
20 million dollars...",8
0373484003,"And look for Irish Rebel, a brand-new book in this landmark series,
coming from Silhouette Special Edition in June!",7
0515118559,"Living at a Virginia horse farm with the mother she had never known,
Kelsey Byden becomes involved with a high-stakes gambler who raises
troubling questions about her mother&#39;s past",7
0553278592,"Adrianne, daughter of a Hollywood star and an Arab playboy, lives a
double life as a highly successful jewel thief Yet just as she is
poised to take her vengeance, she meets a man who seems to divine her
every secret.",8
0553375407,"So begins Ishmael, an utterly unique and captivating novel that has
earned a large and passionate following among readers and critics
alike-one of the most beloved and bestselling novels of spiritual
adventure ever published.",10
0684848066,"In this book, Iyanla Vanzant teaches us how to do our mental
housekeeping so that we can clean the windows, floors, walls, closets,
and corners of our minds.",7
0871564351,"Essays discuss the last pockets of wildlands in and around Los
Angeles, and the interaction between urban development and nature
conservation",8
0374522243,"Featuring inside advice from students, graduates, and professionals
who share their experiences about success in college and the world of
work! This new edition helps you prepare for success after college
while you are still in college.",5
006101351X,"October 1991. It was &quot;the perfect storm&quot;--a tempest that may
happen only once in a century--a nor&#39;easter created by so rare a
combination of factors that it could not possibly have been worse.",8
037387183X,"Wealthy Robert Buckwater learns the true meaning of being rich when he
rediscovers his faith in God while falling in love with a very special
woman.",9
0373871600,"A Father&#39;s Place by Marta Perry released on Sep 24, 2001 is
available now for purchase.",9
0373871627,"A Groom Worth Waiting For by Crystal Stovall released on Oct 25, 2001
is available now for purchase.",5
0812550706,"Between the three of them lie the abilities to remake a world. If,
that is, the world survives. Orson Scott Card&#39;s Ender&#39;s Game
is the winner of the 1985 Nebula Award for Best Novel and the 1986
Hugo Award for Best Novel.",10
