isbn,summary,rating
0452264464,"Staring unflinchingly into the abyss of slavery, this novel transforms
history into a story as powerful as Exodus and as intimate as a
lullaby.",6
0345402871,"A fatal mid-air collision involving a commercial airliner prompts a
frantic, desperate investigation into the causes of the accident, in a
thriller exploring the issue of safety and security in the aircraft
industry",7
0375759778,"Five American expatriates living in Budapest in the early 1990s seek
to establish themselves and make their fortunes in a city still
haunted by the tragedies of its Communist past.",8
0553582747,"Koontz looks heavenward for inspiration in his newest suspense
thriller, which is chock-full of signs, portents, angels, and one
somewhat second-rate devil, a murky and undercharacterized guy named
Junior Cain who throws his beloved wife ...",7
0440225701,"After a violent encounter with a homeless man, talented corporate
lawyer Michael finds himself out in the streets, lucky to be alive,
and holding a top-secret file belonging to his former employers",8
0060938412,"You were so promising at the beginning: Sexy, smart, personable and
funny. Great on dates and really great afterward-if you know what I
mean. But this is a sad state of affairs; or, in your case, non-
affairs!",5
1558531025,A collection of advice on how to live a happy and rewarding life.,5
0966986105,"When rape and murder strike young, single women on the sun-drenched
San Diego coast, police are stumped.",10
0316769487,"&quot; The hero-narrator of The Catcher in the Rye is an ancient child
of sixteen, a native New Yorker named Holden Caufield.",7
0671867156,"Placed in the federal witness protection program after seeing a
murder, Manhattan real-estate agent Lacey Farrell nevertheless must
solve the case before she becomes the next victim",8
0671864769,"The starship Enterprise rescues Captain Montgomery Scott, who has been
missing in space for seventy-five years and finds that the world has
changed beyond his recognition",8
0840734530,"This enchanting work of fantasy leads readers on a stirring quest
through enchanted lands with the hapless but good-hearted King Quad.",10
0451410319,"Sixteen years after her own son fell victim to a serial killer,
criminal profiler Ivy Dunlap is called in by the Chicago police to
help them find the Madonna Murderer, an unknown killer who has
returned to stalk the city, and Ivy must ...",8
0061030147,Scott Foresman Reading Street ((c)2008) components for Grade 5.,6
0671461494,"After Earth is demolished to make way for a new hyperspatial
expressway, Arthur Dent begins to hitch-hike through space.",7
0590431110,"Two orphan sisters in the late 1800s leave New York on the orphan
train to seek a new home in the West.",6
0064470113,"Two sixteen-year-old girls from different social classes spend the
summer together on a resort island and experience a test of their
friendship when family loyalties, romance, and drug dependence
interfere.",7
0553571486,"Heather returns from her missionary trip to Africa, dissapointed to
find her selfish family unchanged, and a second trip back, with the
whole family this time, might be just what everyone needs. Original.",6
0312963009,"Not since Jurassic Park has a novel so enthralled readers everywhere.
Now, enter the world of Neanderthal... The expedition of the
century...uncovers the find of the millennium...Neanderthal.",6
0345430476,"In a desperate bid for some quick cash, a married couple stages the
fall of their daughter down a well, with terrifying consequences that
begin when their grown-up daughter returns years later from a small,
dark place. Reprint.",5
0380728729,"The author, a new father, discusses the intricacies of welcoming a new
member of the family, from the nerve-racking drive to the delivery
room to the art of hypnotizing your newborn to sleep",5
038081840X,"Contains tales of enchantment, wonder, and horror by authors including
Ursula K. LeGuin, Charles de Lint, Tanith Lee, Gene Wolfe, Ted Chiang,
Kate Riedel, Terry Goodkind, and Nicola Griffith.",5
0449912302,". . After a day spent staring at a computer monitor, think of the book
as a kind of screen saver for your brain.&quot;",9
055329198X,"The last surviving member of a powerful but cursed family, Nicole St.
Claire returns from her exile in New York City to protect her old
love, Duffy Johnson, but the town&#39;s most powerful man is luring
them into an unholy trap, and Nicole&#39;s ...",5
0671018930,"Three teenage siblings find themselves embroiled in spiritual warfare
when one of them, Christopher, is kidnapped by a rebel Prince and
forced to join Lucifer&#39;s ancient revolt against the King of
Heaven. Original.",5
0812541642,"Waiting is even better, rich with character, suspense and constant
surprise. This is one of the best chillers of the entire decade. It is
guaranteed to give you nightmares. Reading this book was a pure
pleasure.&quot;--Mystery Scene",5
067153484X,"Left with only a music box by which to remember her murdered parents,
an orphaned Gabrielle Denning is taken in by Lady Nevon and falls in
love with Nevon&#39;s nephew, with whom she must solve a mystery or
lose her newfound happiness.",6
0312278586,"The Nanny Diaries deftly skewers the manner in which America&#39;s
over-privileged raise les petites over-privileged-as if grooming them
for a Best in Show competition.",7
0679310002,"A remarkable debut novel and bittersweet tale of the unflinching love
and devotion between a mother and daughter.Razor sharp and darkly
funny &quot;Going Down Swinging chronicles two years in the life of
the Hoffmans.",10
0425178242,"A collection of the unique and passionate columns by Carl Hiaasen of
the Miami Herald examines the outrageous carnival of southern Florida
and all its inhabitants--thieves, conmen, hustlers, perfumed swine,
legal swindlers and patriotic ...",7
0060930187,"The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant,
beautiful, enormously talented, and successful, but slowly going under
--maybe for the last time.",8
0679450432,"When Stella Marz, Assistant County Prosecutor and head of the homicide
division of the Prosecutor&#39;s office, investigates the deaths of
two prominent men--one of a heroin overdose, the other hanged and
castrated--she uncovers an unexpected ...",7
0446364193,"Discover the classic thriller that launched the #1 detective series of
the past twenty-five years, now one of PBS&#39;s &quot;100 Great
American Reads&quot; Alex Cross is a homicide detective with a Ph.D.
in psychology.",7
0064407667,"In the first two books alone, the three youngsters encounter a greedy
and repulsive villain, itchy clothing, a disastrous fire, a plot to
steal their fortune, a lumpy bed, a deadly serpent, a large brass
reading lamp, a long knife, and a ...",7
0375501347,"Explores the dark secret that jeopardizes the love between a mother
and her daughter in a small mill town.",7
0060927240,"When we first meet him, Chappie is a punked-out teenager living with
his mother and abusive stepfather in an upstate New York trailer park.",7
0345418778,"Can Arthur save the Earth from total multidimensional obliteration?
Can he save the Guide from a hostile alien takeover? Can he save his
daughter, Random, from herself? Of course not. He never works out what
is going on, exactly. Will you?",8
0312977905,"While stealing Leif Eriksson, a prized cat, from its owners as part of
a gang initiation, Robin, a teenager struggling to fit in with the
local kids, witnesses a murder in owners&#39; bedroom and must avoid a
killer who will do anything to keep ...",5
0451205421,"One of Koontz&#39;s best-loved novels of psychological suspense, The
Door to December takes readers into the darkest recesses of the human
mind-and into the tempest of a father&#39;s obsession.",6
0812521331,"Before the dawn of history, a brave people found a new world, led by a
dreamer who followed the spirit of the wolf. Copyright © Libri GmbH.
All rights reserved.",7
1884777805,"A tutorial for Perl programming and the particulars of Perl syntax, as
well as good style and structure and maintainability of the code, also
includes advanced concepts--such as modular programming, abstract
datastructures, and object ...",8
0553568760,"Struggling to save a mother and baby when something goes horribly
wrong during the birth, Dr. Sarah Baldwin is unaware that two
identical circumstances have already occurred and that she is the only
factor they had in common.",6
034538184X,"But as the trial unfolds, it is Paget who will be surprised...by
Mary&#39;s secret motive for murder...by evidence that Mary&#39;s
lying...by a woman prosecutor who believes Mary invented the story of
rape...and by an enigmatic judge with an agenda ...",7
1573229385,"Caught in a dead-end, low-paying job as an editorial assistant in New
York City, Harry Driscoll finds himself torn between his dreams of
becoming a writer and his relationship with the young woman he has
asked to marry him.",6
0345347536,"As the only person in Xanth without magic of any sort, Bink wanders in
exile, searching for the magic powers that will allow him to return",9
039914739X,"Angered over the governor&#39;s order on speed traps, the eccentric
inhabitants of the Isle of Tangier, off the coast of Virginia, declare
war on their own state, and it is up to Judy Hammer, the new
superintendent of the state police, to stop ...",6
0449911004,"Centering around a Minneapolis beauty parlor that also functions as a
women&#39;s support group, this novel explores the loves, losses,
hopes, and victories experienced by Patty Jane and Harriet, two
eccentric sisters",8
0345409469,"Reveals the dangers associated with widespread scientific ignorance,
and explains how scientific thought has served to overcome prejudice
and hysteria Casting a wide net through history and culture, Sagan
examines and authoritatively ...",10
0441004016,"A novel of time travel that combines action and adventure with the
surreal and bizarre",8
0876855575,"From a harrowingly cheerless childhood in Germany through acne-riddled
high school years and his adolescent discoveries of alcohol, women,
and the Los Angeles Public Library&#39;s collection of D. H. Lawrence,
Ham on Rye offers a crude, brutal, ...",9
0375704043,"A memoir of the scientific wonder of youth by the distinguished
neurologist and author describes his fascination with metals, gasses,
and chemicals, and with unravelling the complex mysteries of the world
around him.",8
0805063889,"The sharp social critic and author of Blood Rites looks underneath the
illusion of American prosperity at poverty and hopelessness in
America.",7
0441003257,"When the armies of Heaven and Hell decide it&#39;s time for
Armageddon, a demon and an angel decide they like life on earth and
team up to stop the coming apocalypse",7
0451202503,"Folksinger Lark McCourry retraces the history of a family song, which
she had heard from her North Carolina relatives as a child, back to
eighteenth-century Scotland to young Malcolm MacQuarry, kidnapped and
sent to the American colonies, ...",6
0312195516,"Told in Dinah&#39;s voice, this novel reveals the traditions and
turmoils of ancient womanhood--the world of the red tent. It begins
with the story of her mothers--Leah, Rachel, Zilpah, and Bilhah--the
four wives of Jacob.",8
0399146008,"Deborah Cochrane and Joanna Meissner, close friends and fellow grad
students, respond to a campus newspaper ad that promises to solve
their financial problems: an exclusive, highly profitable fertility
clinic northwest of Boston is willing ...",7
0140317937,"Small, fat Bastian Balthazar Bux is nobody&#39;s idea of a hero, least
of all his own, until he finds himself stepping through the pages of a
mysterious book into the world of Fantastica! Age 9+ 148 pages",6
0375413081,"The author shares his experiences working with kids in Central
Juvenile Hall, a jail for kids located near Los Angeles, assisting
them with their writing.",9
1400034779,"Working in Gaborone, Botswana, Precious Ramotswe investigates several
local mysteries, including a search for a missing boy and the case of
the clinic doctor with different personalities for different days of
the week.",7
038533303X,"Follows an 84-year-old pathologist across the country with
Einstein&#39;s brain in a Tupperware bowl filled with formaldehyde.",5
0451163753,"Charles Smithson, a conventional young scientist, breaks his proper
Victorian engagement upon becoming involved with devastating Sarah
Woodruff, whom the townspeople have linked with scandal and forbidden
pleasures",8
0915811332,"The sequel to &quot;Way of the Peaceful Warrior&quot; blends adventure
and transcendental teachings and reveals another step in the
author&#39;s path to higher wisdom, through a quest for a woman shaman",8
0553486411,"On the remote planet of Dantooine where she is hiding from the Empire,
Tash Arranda has real family problems when first she spies her dead
parents and then she must fight her brother and uncle to the death.
Original.",8
0618074716,"Roxanne Fish, from a fervent Pentecostal family, must learn to live in
a world that surrounds her with sin and tempts her with Elvis Presley
and Aretha Franklin as she waits for the incipient Second Coming.",8
0671880187,"Two stories, &quot;Kitchen&quot; and &quot;Moonlight Shadow,&quot;
told through the eyes of a pair of contemporary young Japanese women,
deal with the themes of mothers, love, transsexuality, kitchens, and
tragedy. Reprint. NYT.",8
0380012774,"This edition contains substantial excerpts from the original four-act
version which was never produed, as well as the full test of the final
three-act version, selections from Wilde&#39;s correspondence, and
commentary by George Bernard Shaw, ...",10
0231105592,"Including twenty-two photographs and more than fifty drawings of these
strikingly beautiful early life forms, this book presents a
mesmerizing documentary of a major scientific discovery: the oldest
animal fossils ever discovered.",4
014056232X,"Frank the coyote enjoys investigating other animals and spending time
with his friends.",10
0440203155,"After immigrating from Holland to live and attend high school in Utah,
Annie enjoys her sister&#39;s support during the colorful experience
until one special boy comes between them.",10
0440401119,"Billy&#39;s friends are sore that Billy ate all the worms and won the
bet (in How to Eat Fried Worms). They recruit the prettiest girl in
school to humiliate Billy, but their plan backfires. Billy and the
girl begin to like each other.",9
0440940001,"Records the courage and self-reliance of an Indian girl who lived
alone for eighteen years on an isolated island off the California
coast when her tribe emigrated and she was left behind.",6
0812565959,"With Bean&#39;s help, he will eventually rule the world. Shadow of the
Hegemon is the second novel in Orson Scott Card&#39;s Shadow Series.",8
0679731148,"A month-by-month account of the author&#39;s experience in the first
year of restoring a two-centuries old stone farmhouse in back country
Provence, France.",8
0451522389,"A time traveler discovers the fate of the earth and a scientist learns
how to make himself invisible, but becomes criminally insane",8
0380600129,"But when an old wooden cupboard and a special key bring the unusual
toy to life, Omri&#39;s Indian becomes his most important secret:
precious, dangerous, wonderful, and above all, magical.",7
