isbn,summary,rating
006447335X,It is eight years after the tours from offworld have stopped.,1
0765347415,"Now, in Terminator 3: Rise of the Machines, John Connor is older, his
mother, the courageous Sara Connor, is dead, and still a target for
killer machines from the future.",5
0312204353,"An in effort to reject cynicism and feelings of powerlessness, a known
social activist uses moving stories of ordinary Americans who have
found fulfillment in participation to inspire and encourage others to
follow the same path. Original.",7
8484034445,"Combines the classic story of Gregor Samsa, who awakens one morning to
discovers that he has changed into a giant dung beetle, with a shorter
tale about a scholarly monkey.",8
007212248X,"Complete with CD-ROM, this kit provides all of the information and
tools any Oracle DBA or application developer deploying Oracle8i will
need in a concise, well-thought-out manner.",7
0345417623,"Using a quantum time machine, a group of young historians is sent back
to the year 1357 to rescue their trapped project leader.",8
0553569910,"The wife of a high-stakes international financier, Nell Calder finds
her life shattered when her husband and child are killed and she is
disfigured, events that transform her from a quiet, unassuming wife to
a determined woman bent on ...",8
0140255087,"An account of the author&#39;s two-hundred-fifty-mile journey, on
foot, from Kathmandu, Nepal, to the Crystal Mountain, in Tibet, in
search of the Himalayan blue sheep, the rare snow leopard, and
distances of the spirit",8
0345437829,"While wrestling with her own anxieties over aging and loneliness, Eve
Mozell struggles with her alcoholic father over the telephone, pursues
her workaholic sister, and meets a man who rivals her husband",6
0451191722,"A medium recounts his experiences relaying messages from spirits in
the afterlife, sharing the stories of the mourners he has served and
showing readers how they can contact their departed loved ones",8
1853261122,"A huge cyclone transports Dorothy and her little dog Toto to the Land
of Oz, where she makes both an enemy and many friends as she travels
to the Emerald City to see if the Wizard of Oz will help her to get
back home again.",8
0451526341,"A satire on totalitarianism in which farm animals overthrow their
human owner and set up their own government",10
0670888702,At the center of this book is the enigma of belief.,6
0061010901,"A volatile, corrupt city threatened by toreign invasion and ru by an
iron-fisted government, Nagasaki is the last place Sano Ichiro wants
to be, Unfortunately, the shogun&#39;s Most Honorable Investigator of
Events, Situations, and People has ...",8
1841120545,"Describes the key principles responsible for the success of
amazon.com, and discusses the fundamentals of electronic commerce.",8
0515113093,"As civil war rages in the Commonwealth of Independent States and the
threat of nuclear aggression looms, Captain Matthew
&quot;Tombstone&quot; Magruder and his men must launch marine assaults
and aerial strikes on the Russians. Original.",9
0771089554,"Published in 1949, The Innocent Traveller is Ethel Wilson’s most
original literary achievement.",8
0525945210,"In this gripping conclusion to his inspirational trilogy, Pelzer
writes of a dramatic reunion with his dying father, where, for the
first time, he hears the other man&#39;s side of the story.",9
0425164179,"When fellow student Roddy L&#39;Officier sabotages Maj Green&#39;s
latest virtual simulation program, he is exiled by the rest of the Net
Force Explorers, but the brilliant outcast has some other dangerous
plans for them all. Original.",8
0201510596,"Algorithms in C++ provides readers with the tools to implement,run,
and debug useful algorithms with confidence. This book is ahelpful
guide for users engaged in the transition to orexperimentation with
OOP and/or the C++ language.",10
0385503822,"For the first time since A Time to Kill, the author returns to Ford
County, Mississippi, a place rich in colorful characters and dark
family secrets, for his latest legal thriller.",10
0312318499,"Introduced by Richard Curtis, the book features the full screenplay
plus outtakes, behind-the-scenes snapshots, and more.",10
1568846452,"* Focusing on the needs of the first-time Web page creator, this
plain-English guide shows how to build a basic personal site in no
time * Updated to cover the latest trends and tools, including blogs,
photo-hosting sites, and Google Page ...",5
0446606782,"Original. Enjoy the splendor and enchantment of love from the
bestselling pen of Katherine Stone.",8
0132261197,C: how to program.,8
0138137595,"A description of the field of scanning electron microscopy and X-ray
microanalysis, including coverage of specimen preparation, electron
emission, lenses and electromagnetic fields, specimen-beam
interactions, vacuum generation, and energy ...",9
0553573861,"Attaining more than his share of enemies when his whistle-blowing
practices draw attention to several environmentally careless
corporations, activist Sangamon Taylor finds himself dodging the
bullets of an unhinged genetic engineer.",8
0440237009,"After an accident claims her husband of eighteen years, Liz Sutherland
must grieve, console her five children, and learn to get on with her
life.",6
0521632943,"This timely volume explores the psychological aspects of cyberspace, a
virtual world in which people from around the globe are acting and
interacting in many new, unusual, and occasionally alarming ways.",8
044023722X,"Racial tension, a forbidden love affair, and murder are seen through
the eyes of a seven-year-old boy in a 1950s Southern cotton-farming
community.",6
0156006243,"Living the innocent life of a proofreader, Raimundo Silva changes a
key word in a history text that leads him to romance and alters the
course of European history",3
0971880107,"Wild animus is a search for the primordial, a test of human
foundations and a journey to the breaking point.",9
