isbn,summary,rating
1879384493,"Provides advice on ways to succeed in business, finance, careers,
dating, marriage, school, and getting along with others.",10
0061076031,"Problems arise when identical twins Emma and Sam switch places in
order to solve each other&#39;s problems, and the girls worry that
things will only get worse if the truth about their plan is revealed.",5
0439095026,"As explained by the kids themselves, this book offers a collection of
true stories that deal with moments of embarrassment and awkwardness
while providing tips and advice on how to handle such difficult
situations when they arise.",5
0689821166,"As the waters of the Mississippi River rise with each and every
moment, Molly and Garrett risk their lives to save their collection of
nickles and pennies as it is their only hope of getting out of their
poverty-stricken world. Original.",6
0446310786,"The unforgettable novel of a childhood in a sleepy Southern town and
the crisis of conscience that rocked it, To Kill A Mockingbird became
both an instant bestseller and a critical success when it was first
published in 1960.",8
0449005615,"True story of how three men and a great racehorse captivated the
world.",8
0440223571,"Presents an anthology of Christmas stories reflecting on the various
ways in which the holidays serve as a catalyst to promote change,
growth, and new beginnings",8
0375410538,"A forensic pathologist returns to Sri Lanka--after 15 years abroad--to
assist in identifying victims of the country&#39;s civil war",6
0553062042,Tyrel and Orrin Sackett travel from Tennessee to Santa Fe.,7
0440222303,"When conflicts between rivaling cultures aboard Babylon 5 escalate to
riotous proportions, security chief Garibaldi discovers a link between
a station-wide epidemic in nightmares and a strange alien presence.
Original.",6
0679429220,"In charming, beautiful, and wealthy old-South Savannah, Georgia, the
local bad boy is shot dead inside of the opulent mansion of a gay
antiques dealer, and a gripping trial follows",8
0316735736,"Written with the intelligence and grace that are the hallmarks of
Anita Shreve&#39;s bestselling novels, this gripping tale of desire,
jealousy, and loss is peopled by unforgettable characters as real as
the emotions that bring them together.",7
0446601640,"Restless loner and motorcycle rider Michael Tillman is unable to
resist his powerful feelings for Jellie Braden, a free spirit trapped
in a passionless marriage. By the author of The Bridges of Madison
County. Reprint.",6
0140250964,"Weaves together two stories in the account of how fifteen-year-old
Arthur Parkinson&#39;s family fell apart and the life and death of
Annie Marchand, a young woman Arthur adored as a child",8
0385337639,"Kate Morrison, orphaned at the age of seven, grows up seeing her
brilliant older brother Matt&#39;s failure to further his education as
a tragedy, and feeling somewhat guilty about her own accomplishments,
and it is not until years later that ...",7
039575514X,"The reminiscences of a New York lawyer, Jim Burden, about his boyhood
in Nebraska, particularly a young Bohemian girl named Antonia
Shimerda, are set against the backdrop of the American assimilation of
immigrants.",8
044023722X,"Racial tension, a forbidden love affair, and murder are seen through
the eyes of a seven-year-old boy in a 1950s Southern cotton-farming
community.",7
0440235502,"The life and times of aerospace engineer Home Hickman and his friends
in Big Creek, West Virginia.",9
0671649949,"This is the gently comic story of two insecure young people who share
a Brooklyn apartment: a gay man and a pregnant woman who are both on
the brink of financial and emotional disaster.",6
0312988699,"&quot; -Kirkus Reviews &quot;Clark has perfected the suspense novel,
where in classic Christie fashion, everyone is a potential
suspect...timely, and downright fun.&quot; -Booklist &quot;A fast-
paced story line...a winner.",4
0380730138,"In a stark, troubling, yet ultimately triumphant celebration of self-
determination, award-winning author A. Manette Ansay re-creates a
stifling world of guilty and pain, and the tormented souls who inhabit
it.",6
0425182878,"Hoping to use a supposedly straightforward case of murder to clear his
mind, Deputy Chief Lucas Davenport finds himself matching wits with an
ever-escalating serial killer, art history professor, congenial
pervert, and sexual predator James ...",8
055356451X,"This gripping tale unfolds in a peaceful Minnesota town, where crime
is something that just doesn&#39;t happen. But when a young boy
disappears, it marks the beginning of a unspeakable nightmare.",8
0671525832,"Seriously injured in a car accident, Broadway actress Leigh Kendall
awakens to discover that her husband, Logan Manning, has disappeared,
and the police suspect her involvement, so she must unravel the nature
of his business to survive.",7
0553279572,"A superlative new collection of twenty-two stories by the author of
&quot;The Martian Chronicles&quot; includes the continuating saga of
H.G. Well&#39;s time traveller and his Toynbee Convector, a ghost on
the Orient Express, and a bored man who creates ...",9
0062507249,"The autobiography of a gay man&#39;s struggle with manhood focuses on
the author&#39;s attempts to live a normal life while concealing the
secret of his sexuality.",7
0140021566,"Copyright © Libri GmbH. All rights reserved. In this, his first novel,
V.S. Naipaul traces the meteoric rise and metamorphosis of Ganesh.",6
0449245691,"Gershon Loran, a quiet rabbinical student, is troubled by a dark
reality around him. Abandoned by his parents and friends, he sees hope
only in the study of the Kabbalah.",7
0804001944,"The story of Martiniano, the man who killed the deer, is a timeless
story of Pueblo Indian sin and redemption, and of the conflict between
Indian and white laws; written with a poetically charged beauty of
style, a purity of conception, and ...",7
0425113892,"In the strange house of Greyhaven, the young lovers, Anne and Kevin,
and the middle-aged romantics, Bea and Roger find themselves caught in
the beautiful but menacing world of pre-Christian sacrificial rites",7
042512892X,"Meg is haunted by a mysterious and increasingly dangerous chain of
events after inheriting her grandfather&#39;s antique store in New
England.",8
0425137945,"When Lucy Cartwright follows her dashing new husband, Baron Clare, to
his stunning estate, she learns that terror and betrayal lurk in its
corridors. By the author of Vanish with the Rose. Reprint.",8
