isbn,summary,rating
0002740230,"Here is a guide to make life simpler, easier and more enjoyable.",7
0060801263,A poignant story of childhood and family relationships.,8
0816614024,"Suggests an open system of psychological exploration to cut through
accepted norms of morality, language, and politics",10
0151104506,"A motley group of misfits takes on a magical aura at Bailey&#39;s
Cafe+a7 as each character describes his or her motivations, desires,
obsessions, and idiosyncracies.",8
0451524063,Four plays by the acclaimed author of An enemy of the people.,10
0515093556,"Obsessed with the mystery surrounding Belinda, his precocious sixteen-
year-old lover, Jeremy Walker, a middle-aged illustrator of
children&#39;s books, is swept into Belinda&#39;s world of Hollywood
money, lust, and dark family secrets",1
088029261X,"Contains all of Sherlock Holmes&#39; adventures. Includes four novels
and 56 short stories.",10
157586326X,"What can probability theory teach us about free will? This book
contains six informal lectures by computer scientist Donald E. Knuth
exploring the relationship between his vocation and his faith.",6
1844262553,Printed on the top left of the envelope was the number one.,9
0451121082,"Three more of Ian Fleming&#39;s original James Bond adventures in
classic, eye-catching packages",5
0446520837,"The author distills her financial expertise into ten principles for
attaining a six-figure salary, focusing on setting progressive goals
and staying out of debt",8
155874262X,"Features inspirational stories offering words of wisdom, hope, and
empowerment",10
0521815819,"Details the relationship between Modernism and the Victorian Age,
examining the works of such authors as John Ruskin, Dante Gabriel
Rossetti, and Augusta Evans.",10
0140372628,"From the surprising case of The Resident Patient to the sinister tale
of The Crooked Man, no case is too challenging for Holmes.",8
1904492355,"Can they thwart the policeman or will their conflict end up in death
and disaster for all?The story has all the elements of a first class
thriller with suspense maintained at a nerve stretching level right to
the last page.",8
0140178139,"When his closest friend, Benjamin Sachs, accidentally blows himself up
on a Wisconsin road, Peter Aaron attempts to piece together the events
that led to Ben&#39;s tragic demise and determine the reason for his
death",9
0679745203,"Three individuals--nurse Hana, thief Caravaggio, and Kip--are brought
together in an abandoned Italian villa at the end of World War II by a
nameless and hideously burned English patient. Reprint.",7
0767904621,"Now, in her book Play Like a Man, Win Like a Woman, Gail Evans reveals
the secrets to the playbook of success and teaches women at all levels
of the organization--from assistant to vice president--how to play the
game of business to their ...",9
0345412214,"The Last Don is a mesmerizing tale that takes us inside the equally
corrupt worlds of the Mob, the movie industry, and the casinos-where
beautiful actresses and ruthless hitmen are ruled by lust and
violence, where sleazy producers and ...",6
0140259708,"Bennett is a drifter, attracted to the good life in the South of
France and willing to try anything for easy money.",5
0316769487,"&quot; The hero-narrator of The Catcher in the Rye is an ancient child
of sixteen, a native New Yorker named Holden Caufield.",9
0816735662,"All the stories in this book are based on documented cases of UFOs
reported by real kids.",5
0843136170,Barbie is determined to help save Midge&#39;s summer camp for girls,10
0553493906,"As Elizabeth works to maintain a balance between spending time with
her boyfriend Jeffrey and comforting her friend Conner, she tries to
deny her growing attraction to Conner.",9
0842361715,"When a strange force of evil in the form of a shapeless shadow begins
taking over the small town of Ashton, Marshall Hogan, editor of the
local paper, is unknowingly helped by angels as he searches for a way
to save his family.",9
0553583980,"Schoolteacher Rumer Larkin finds her peaceful life in the rustic
Connecticut beach town of Hubbard&#39;s Point turned upside down by
the return of Zeb Mayhew, the man who had once broken her heart, who
is accompanied by his teenage son and who ...",5
0553250531,"After being cast out of the Clan that had adopted her as a child by
the new leader, Ayla shares a lonely valley with a herd of steppe
ponies, harnesses their power, and discovers speech and love with
Jondalar, a member of her own race.",10
0684867621,"From international bestseller Stephen King, a classic story that
engages our emotions on the most primal level, a fairy tale grimmer
than Grimm but aglow with a girl’s indomitable spirit.",7
0805063897,"The sharp social critic and author of Blood Rites looks underneath the
illusion of American prosperity at poverty and hopelessness in
America. Reprint. 100,000 first printing.",9
